20088040	CS702	3	30	8	0	8	1	1	2	4
20086012	CS702	1	25	8	0	8	1	1	0	0
20086012	CS702	2	45	21	0	1	0	15	0	2
20086012	CS702	3	30	6	0	10	2	0	2	0
20083044	CS702	1	25	14	0	4	0	0	0	0
20083044	CS702	2	45	22	0	0	0	12	0	0
20083044	CS702	3	30	4	0	4	1	0	0	0
20084030	CS702	1	25	19	0	8	0	0	0	0
20084030	CS702	2	45	16	0	0	0	11	0	3
20084030	CS702	3	30	12	1	0	1	5	1	1
20083012	CS702	1	25	13	0	6	4	0	0	1
20083012	CS702	2	45	28	0	0	0	13	0	1
20083012	CS702	3	30	12	1	0	1	1	2	0
20085045	CS702	1	25	19	0	16	0	1	0	0
20085045	CS702	2	45	18	0	0	0	17	1	1
20085045	CS702	3	30	12	2	0	3	1	2	0
20084105	CS702	1	25	17	0	15	0	2	0	1
20084105	CS702	2	45	28	0	3	0	21	1	2
20084105	CS702	3	30	6	0	12	0	5	2	3
20085022	CS702	1	25	14	0	8	0	0	0	0
20085022	CS702	2	45	19	0	0	0	13	0	0
20085022	CS702	3	30	12	0	4	1	0	0	1
20084118	CS702	1	25	9	0	0	10	0	14	2
20084118	CS702	2	45	10	0	0	0	6	0	0
20084118	CS702	3	30	0	0	0	2	0	0	0
20084054	CS702	1	25	18	0	30	1	0	1	1
20084054	CS702	2	45	18	0	2	0	15	0	1
20084054	CS702	3	30	10	1	11	2	4	1	2
20084115	CS702	1	25	8	0	5	0	0	0	0
20084115	CS702	2	45	23	0	0	0	13	0	0
20084115	CS702	3	30	4	0	0	1	0	0	1
20084048	CS702	1	25	14	0	4	1	0	0	0
20084048	CS702	2	45	25	0	0	0	17	1	3
20084048	CS702	3	30	0	0	0	1	0	0	0
20085019	CS702	1	25	12	0	7	0	0	0	2
20085019	CS702	2	45	26	1	2	0	9	3	4
20085019	CS702	3	30	11	2	6	1	5	0	4
20084089	CS702	1	25	10	0	0	0	0	6	1
20084089	CS702	2	45	20	0	0	0	6	1	1
20084089	CS702	3	30	3	0	0	5	0	4	1
20089007	CS702	1	25	14	0	7	0	0	0	0
20089007	CS702	2	45	17	0	2	0	10	0	0
20089007	CS702	3	30	11	1	3	0	7	0	2
20084013	CS702	1	25	14	0	14	0	0	0	0
20084013	CS702	2	45	26	0	11	1	2	0	0
20084013	CS702	3	30	20	0	11	1	2	0	1
20084066	CS702	1	25	14	0	12	0	0	0	0
20084066	CS702	2	45	15	0	2	0	5	1	0
20084066	CS702	3	30	12	0	9	0	2	1	1
20084101	CS702	1	25	11	0	17	0	0	0	1
20084101	CS702	2	45	16	0	2	0	7	6	1
20084101	CS702	3	30	0	0	0	0	0	0	0
20084110	CS702	1	25	15	0	21	2	0	2	0
20084110	CS702	2	45	18	0	0	0	14	1	2
20084110	CS702	3	30	6	0	1	0	1	1	3
20074069	CS702	1	25	7.5	1	3	1	0	3	1
20074069	CS702	2	45	18	0	0	0	8	1	1
20074069	CS702	3	30	0	0	0	1	0	0	0
20084009	CS702	1	25	14	0	3	0	0	0	0
20084009	CS702	2	45	4	0	1	0	3	0	0
20084009	CS702	3	30	0	0	0	0	0	0	0
20087095	CS702	1	25	8	0	6	4	0	1	2
20087095	CS702	2	45	19	0	0	0	13	1	1
20087095	CS702	3	30	0	0	0	0	0	0	0
20084027	CS702	1	25	14	0	15	0	0	0	0
20084027	CS702	2	45	17	0	0	0	16	0	3
20084027	CS702	3	30	2	0	0	5	0	4	0
20084011	CS702	1	25	10	0	2	2	0	5	1
20084011	CS702	2	45	15	0	2	0	3	0	0
20084011	CS702	3	30	3	0	1	1	0	8	2
20084114	CS702	1	25	14	0	7	0	1	0	2
20084114	CS702	2	45	21	0	0	0	14	0	0
20084114	CS702	3	30	13	0	13	1	1	0	0
20084104	CS702	1	25	19	0	0	0	0	0	0
20084104	CS702	2	45	21	0	0	0	5	0	0
20084104	CS702	3	30	8	0	0	0	0	0	0
20088006	CS702	1	25	14	0	4	0	0	0	0
20088006	CS702	2	45	30	0	0	0	25	1	1
20088006	CS702	3	30	10	0	9	2	0	2	0
20084052	CS702	1	25	14	0	2	0	0	0	0
20084052	CS702	2	45	21	0	0	0	16	0	0
20084052	CS702	3	30	8	0	0	0	0	0	0
20084002	CS702	1	25	14	0	14	0	0	0	0
20084002	CS702	2	45	23	0	0	0	17	0	1
20084002	CS702	3	30	13	0	15	1	0	0	0
20084076	CS702	1	25	14	0	5	1	0	0	0
20084076	CS702	2	45	27	0	0	0	16	0	0
20084076	CS702	3	30	7	0	4	1	0	2	1
20084016	CS702	1	25	14	0	17	0	0	0	2
20084016	CS702	2	45	24	0	3	0	14	0	0
20084016	CS702	3	30	6	0	4	1	0	2	2
20084077	CS702	1	25	14	0	4	0	0	0	1
20084077	CS702	2	45	19	1	0	0	2	0	0
20084077	CS702	3	30	12	0	0	0	2	0	1
20084038	CS702	1	25	14	0	3	0	0	0	0
20084038	CS702	2	45	16	0	0	0	13	3	3
20084038	CS702	3	30	13	0	0	0	9	2	2
20084069	CS702	1	25	14	0	10	0	0	0	0
20084069	CS702	2	45	25	0	0	0	4	0	0
20084069	CS702	3	30	8	0	0	1	0	1	0
20084060	CS702	1	25	15	0	16	0	0	0	2
20084060	CS702	2	45	26	0	7	0	20	2	0
20084060	CS702	3	30	11	0	1	0	0	0	1
20084084	CS702	1	25	19	0	5	0	0	0	0
20084084	CS702	2	45	21	0	0	0	12	0	1
20084084	CS702	3	30	12	0	6	0	0	0	1
20084049	CS702	1	25	20	0	8	0	0	0	0
20084049	CS702	2	45	23	0	3	0	15	0	1
20084049	CS702	3	30	6	0	6	0	2	2	0
20084087	CS702	1	25	14	0	5	0	0	0	1
20084087	CS702	2	45	22	0	1	0	6	0	0
20084087	CS702	3	30	12	0	0	1	0	0	1
20084090	CS702	1	25	14	0	5	0	0	0	0
20084090	CS702	2	45	18	0	0	0	11	1	3
20084090	CS702	3	30	13	0	5	0	0	2	0
20084073	CS702	1	25	13	1	4	0	2	0	3
20084073	CS702	2	45	0	0	0	1	0	0	0
20084073	CS702	3	30	0	0	0	1	0	0	0
20085077	CS702	1	25	14	0	5	0	1	0	0
20085077	CS702	2	45	19	0	0	1	12	0	0
20085077	CS702	3	30	1	0	0	1	0	1	0
20085025	CS702	1	25	17	4	4	0	0	4	1
20085025	CS702	2	45	18	0	0	0	15	0	1
20085025	CS702	3	30	1	0	0	1	0	0	0
